"driverStandingsId","raceId","driverId","points","position","positionText","wins"
181,27,3,8,12,"12",0
182,27,4,13,9,"9",0
183,27,5,28,6,"6",0
184,27,6,8,13,"13",0
185,27,7,2,18,"18",0
186,27,8,51,3,"3",2
187,27,9,48,4,"4",1
188,27,15,20,7,"7",0
189,27,17,18,8,"8",0
190,27,14,6,14,"14",0
191,27,18,3,17,"17",0
192,27,12,10,11,"11",0
193,27,21,0,19,"19",0
194,27,22,11,10,"10",0
195,27,19,0,22,"22",0
196,27,11,0,20,"20",0
197,27,13,54,2,"2",3
198,27,10,5,16,"16",0
199,27,16,0,21,"21",0
200,27,20,6,15,"15",0
